,variance
HACD2,0.01167038747825377
KCNE4,0.011669167536687298
NNT,0.011664111869782851
CDCA2,0.011646513554375928
CLU,0.011635737328628673
TUBA4A,0.011631064833160443
HECW2,0.011623465991139597
VEGFD,0.011574155724054088
TMEM267,0.011514961455637539
SLC9A9,0.011492418647848276
MET,0.011484783964122945
CITED4,0.011458270509563932
GPAM,0.011457571893263022
DEPTOR,0.01142498104835544
C12orf75,0.011424695212154794
BASP1,0.011403893327620544
JAG1,0.011375411963236555
FABP4,0.01137408542003191
CSGALNACT1,0.01128635494156324
CRIP1,0.011283418082872332
LBP,0.011263608508966011
TMEM98,0.011249293342748868
CALB2,0.011236963880955879
FGD4,0.011235383800906598
IRF4,0.011221395941767113
PKDCC,0.011182149144728579
NET1,0.011147380847965634
CSF1,0.011132273778352127
PRR34-AS1,0.01113024099999101
ANKRD29,0.011100292278986226
FST,0.01108496222335114
CAMK1D,0.011070160263252174
SOX4,0.010982027290989991
CCDC68,0.010974392777028143
PDGFRA,0.010948024587285755
CDKN1C,0.010941700888138622
PDGFC,0.010914522765659825
SLC41A1,0.01091108771227696
MAFB,0.010873774608447552
FHIT,0.010868010769871699
SERPINE2,0.010843274552653792
APOL4,0.010823356649811931
WDR77,0.010817730255427696
IGF1,0.010769764563360144
DLAT,0.010753690012057053
NSDHL,0.010746213615108451
GRB14,0.01074130462279117
PDE4B,0.010706607412254258
DAB2,0.010688877687552282
WNK4,0.010661839920386534
EPB41L1,0.010637478627692968
GPBAR1,0.010616834157859294
LY86-AS1,0.01061560049093414
NTNG1,0.01061214147702852
LPIN1,0.010586824696236515
EXTL3,0.010548545363785347
WEE1,0.01053630610682063
KIAA1217,0.010513090446981437
CREB5,0.010510787365245695
PANK1,0.010509257985341067
C5orf30,0.010484754348721703
SBSN,0.010474078661632885
KCNIP2,0.010455543111261678
AOX1,0.010433075821754694
MEST,0.010419876853006306
EPB41,0.01040930890968903
NGF,0.010376777490325234
SYNM,0.010375112662051511
CELF2,0.010351446674956185
WNT5A,0.010340018537045952
NIBAN1,0.010333824537196173
C1orf198,0.0103281855887
CIDEC,0.01032394682530767
DUSP6,0.010313945527693026
RAMP2-AS1,0.010290644073071446
NHS,0.01028810092475442
STBD1,0.010273846080582733
RGMB,0.01025042114117067
SH3RF3,0.010231947273657085
PRUNE2,0.010188460623159616
LIN7A,0.010185860843854975
STARD4,0.01018252540496093
CSMD2,0.010129179800480661
APEX2,0.010108913915649392
ANK2,0.01010067046642656
ARHGAP6,0.010093689437555673
PPIF,0.010077184618559328
MRPS30,0.010066519429797896
TSLP,0.010059251546709537
NEGR1,0.010055732600283177
AFAP1L1,0.010047627528247602
LRP8,0.010041121135551783
FAT4,0.01003982479037484
RXRA,0.010007234326827916
CHST7,0.010007062702025657
GRK5,0.010005227803335499
LOXL3,0.009994917325652856
TFPI2,0.009994277262163854
FRMPD4,0.00993833120568917
ITGB5,0.009937077087274614
GPR173,0.009910661556021725
NFATC2,0.00989773131009223
IMPA2,0.009895945143739364
GAS2L3,0.009891352187033865
HACL1,0.009875457443431185
GASK1B,0.009873058407193736
FBLN1,0.00986802188485916
SYNJ2,0.00984949610214611
ENC1,0.009837069905988552
HADH,0.009825238724486063
MMP2,0.009823181887629649
CDC42EP3,0.009810851717187537
CYTOR,0.00981061165471696
OAF,0.009805101017003982
PCK1,0.009802516385389932
OSR1,0.009796518805420519
SREBF1,0.00979256424487358
ME3,0.009759350399314897
UNC5B,0.009759103781289802
GEM,0.009740203987359185
TRARG1,0.009738116557401715
PDE10A,0.009688849516670156
ATP9A,0.009671810637202086
APOL6,0.009665511907105887
KIAA0825,0.009652165499285062
GPNMB,0.009631160691349465
PRR16,0.009629773314590799
NR4A1,0.009626170951177397
TST,0.009609175612785202
TES,0.009585580526359215
ISOC1,0.009580781139409758
TGIF1,0.009573763268875489
PPP1R16A,0.009572807381785607
TMEM100,0.009565651480761862
SMAD3,0.009548262794662674
GALNT15,0.009530190493592616
KLF2,0.009494835412230231
LMO3,0.00948024318245499
PTH1R,0.00947396265150317
ZNF589,0.009472059485006665
FAP,0.009470101693749965
IL18R1,0.00945228419585567
PLTP,0.009449086055132462
ITGA8,0.009427553370643972
ABCC9,0.00942286381844319
CSRP2,0.009413590285136861
PDE4D,0.00940412776703689
PLCXD1,0.009399328271975569
VEGFA,0.009345357846143064
NOTCH3,0.009343951223213687
MKNK2,0.009330794274506277
MMD,0.009310474748113556
MICAL2,0.009308508607535449
SHC3,0.009298015543096057
APCDD1L-DT,0.00928230464548795
CHN1,0.009277411831528111
ACACB,0.009273433766058568
KIF26B,0.009272956570516291
VIT,0.009227568414835529
ITPRIP,0.009223890252152478
SORT1,0.00922003950689592
ALG9,0.009200863403028794
PDE3A,0.009196747130658822
PCOLCE2,0.009158560260929361
FAM20C,0.009143918341391291
CAMK2N1,0.00913866612406421
SYNE2,0.009136907897471585
CCND3,0.009123296620841553
PXDC1,0.009110569413771459
GCNT1,0.009105441972016088
AHRR,0.009101681408630925
ASH2L,0.009069462176583953
CDKN2B,0.009058105447127231
IRS2,0.009037292386520212
PPARGC1B,0.009032766192068355
SOD3,0.009024854625675755
SNAI1,0.0090086858773047
APOLD1,0.008999591067041955
MIR503HG,0.008964204002620272
HSPB2,0.008956332853229398
SPECC1,0.008951125948468225
PRKD1,0.008917552914708228
GPT2,0.008901627665893055
TTC39B,0.008901304800122328
MEOX2,0.008884044417290253
NTM,0.008880181992469217
DNM3OS,0.0088797899307914
NR4A2,0.00886232714647222
FBLN5,0.008853471579382466
GPATCH11,0.008814893112945579
COQ8A,0.008795866310931736
MYO1D,0.008795491022455214
KLHL23,0.00879524873326339
GOT1,0.008787833312761562
FABP5,0.00878625089319284
PEX11A,0.008769688398117178
PLK2,0.008756504415678287
USP53,0.008745305833094352
ATL2,0.008731930017963343
KHDRBS3,0.008704314895256467
DOCK11,0.00869309488855933
LPCAT3,0.008688088424718915
PLCB4,0.008668803003091176
MITF,0.008643469441268984
